speaker	gender	age_group	count	total	rate_pmw
S0455	Female	50-59	35	27321	1281.0658467845246
S0456	Male	40-49	24	27150	883.9779005524862
S0457	Female	40-49	3	3988	752.2567703109328
S0458	Female	19-29	1	3914	255.4931016862545
S0459	Male	11-18	0	155	0
S0460	Male	80-89	0	5329	0
S0463	Male	40-49	10	5104	1959.247648902821
S0464	Female	40-49	1	3892	256.9373072970195
S0465	Male	40-49	2	4608	434.02777777777777
S0466	Male	19-29	14	13373	1046.8855155911165
S0467	Male	19-29	2	1783	1121.7049915872126
S0468	Male	19-29	1	1926	519.2107995846313
S0469	Female	19-29	1	983	1017.293997965412
S0470	Male	50-59	7	3296	2123.78640776699
S0471	Female	19-29	1	848	1179.245283018868
S0472	Female	19-29	9	4328	2079.482439926063
S0473	Male	50-59	1	1410	709.2198581560284
S0474	Female	19-29	1	1901	526.0389268805892
S0475	Female	70-79	145	46227	3136.695005083609
S0476	Male	80-89	29	12536	2313.3375877472877
S0477	Female	19-29	3	420	7142.857142857142
S0478	Female	50-59	29	5888	4925.271739130435
S0479	Female	11-18	0	1243	0
S0480	Male	60-69	10	11382	878.5802143735723
S0481	Male	60-69	20	20051	997.4564859607999
S0482	Male	30-39	37	17116	2161.7200280439356
S0483	Female	30-39	13	15901	817.5586441104333
S0485	Male	70-79	34	10178	3340.538416191786
S0486	Female	60-69	66	36836	1791.7254859376696
S0487	Female	19-29	5	5507	907.9353550027239
S0488	Female	19-29	9	5444	1653.1961792799411
S0489	Male	50-59	9	7204	1249.305941143809
S0491	Female	60-69	7	3474	2014.9683362118594
S0492	Female	30-39	31	39808	778.7379421221865
S0493	Male	30-39	45	69465	647.8082487583675
S0494	Male	60-69	1	7420	134.77088948787062
S0495	Female	50-59	0	2035	0
S0496	Female	30-39	9	7629	1179.7090051120724
S0497	Male	30-39	5	13572	368.4055408193339
S0498	Female	19-29	2	1948	1026.6940451745381
S0499	Female	50-59	1	1254	797.4481658692185
S0500	Female	19-29	3	2601	1153.4025374855826
S0501	Male	50-59	0	159	0
S0502	Female	19-29	4	2026	1974.3336623889436
S0503	Female	19-29	7	4986	1403.9310068190935
S0504	Male	50-59	2	1331	1502.6296018031555
S0505	Female	70-79	2	5242	381.53376573826785
S0506	Male	90-99	0	1731	0
S0507	Female	70-79	0	4099	0
S0508	Female	70-79	4	3657	1093.7927262783703
S0509	Female	11-18	45	35878	1254.2505156363231
S0510	Female	40-49	96	41217	2329.1360361016086
S0511	Female	40-49	70	34230	2044.989775051125
S0512	Male	11-18	22	6283	3501.5120165526023
S0513	Male	11-18	22	7264	3028.6343612334804
S0514	Male	11-18	14	5093	2748.8709994109563
S0515	Female	70-79	12	7547	1590.0357758049556
S0516	Male	60-69	2	2198	909.9181073703367
S0517	Female	40-49	163	148776	1095.6068183040275
S0518	Female	40-49	34	37083	916.8621740420139
S0519	Female	50-59	32	37097	862.6034450225085
S0520	Female	30-39	59	53568	1101.4038231780169
S0521	Male	50-59	32	14050	2277.5800711743773
S0522	Female	30-39	4	4687	853.4243652656284
S0523	Male	60-69	30	14842	2021.2909311413557
S0524	Male	70-79	6	6360	943.3962264150944
S0525	Female	40-49	76	158605	479.1778317203115
S0526	Male	60-69	3	3617	829.4166436273155
S0527	Male	40-49	1	2587	386.5481252415926
S0528	Male	70-79	2	1653	1209.9213551119178
S0529	Female	19-29	164	87846	1866.9034446645267
S0530	Female	19-29	187	74687	2503.782452100098
S0531	Female	19-29	12	5968	2010.7238605898124
S0532	Male	19-29	12	4695	2555.9105431309904
S0533	Male	11-18	1	894	1118.5682326621923
S0534	Male	70-79	3	2945	1018.6757215619693
S0535	Male	70-79	8	1700	4705.882352941176
S0536	Male	70-79	3	1400	2142.857142857143
S0537	Female	60-69	4	5124	780.64012490242
S0538	Male	70-79	11	13098	839.8228737211788
S0539	Female	19-29	30	8005	3747.6577139287947
S0540	Female	30-39	25	14445	1730.7026652821046
S0541	Female	40-49	58	21737	2668.2614896259834
S0542	Male	19-29	41	18038	2272.9792659940126
S0543	Female	19-29	80	30437	2628.3799323192166
S0544	Male	19-29	37	17833	2074.8051365446086
S0545	Male	50-59	5	6147	813.4049129656743
S0546	Female	80-89	0	5301	0
S0547	Male	11-18	6	3831	1566.1707126076742
S0548	Female	40-49	4	6334	631.5124723713293
S0549	Female	19-29	12	9841	1219.388273549436
S0550	Male	40-49	0	3199	0
S0551	Female	60-69	1	5135	194.74196689386562
S0552	Female	70-79	1	1213	824.4023083264633
S0553	Male	70-79	1	2237	447.0272686633885
S0554	Male	11-18	10	12000	833.3333333333334
S0555	Male	11-18	35	35193	994.5159548773903
S0556	Female	11-18	79	27148	2909.9749521143362
S0557	Female	19-29	14	6773	2067.030857817806
S0558	Female	50-59	63	74981	840.2128539229939
S0559	Female	19-29	4	3694	1082.8370330265295
S0560	Male	19-29	28	8816	3176.043557168784
S0561	Female	40-49	28	21441	1305.9092393078681
S0562	Female	50-59	1	2567	389.5597974289053
S0563	Male	40-49	4	6408	624.2197253433209
S0564	Female	70-79	3	13410	223.71364653243847
S0565	Male	70-79	8	5905	1354.784081287045
S0566	Male	60-69	22	8065	2727.8363298202107
S0567	Female	19-29	14	9033	1549.8726890291155
S0568	Male	40-49	0	1252	0
S0569	Male	19-29	5	3219	1553.2774153463808
S0570	Male	11-18	12	14675	817.717206132879
S0571	Male	40-49	27	28656	942.2110552763819
S0572	Male	11-18	11	11567	950.9812397337253
S0576	Male	19-29	2	2339	855.0662676357417
S0578	Female	11-18	3	2851	1052.262364082778
S0579	Male	90-99	75	69102	1085.3520882174178
S0580	Female	40-49	5	7440	672.0430107526882
S0583	Female	19-29	7	8832	792.572463768116
S0584	Male	19-29	10	12844	778.5736530675803
S0585	Female	19-29	48	37108	1293.521612590277
S0586	Female	19-29	3	4466	671.7420510523958
S0587	Male	19-29	33	29768	1108.5729642569202
S0588	Female	40-49	133	74889	1775.9617567332987
S0589	Male	40-49	71	51706	1373.1481839631763
S0590	Female	70-79	434	52818	8216.895755234958
S0591	Male	80-89	3	4908	611.2469437652811
S0592	Female	11-18	65	32602	1993.7427151708484
S0593	Female	50-59	33	7632	4323.899371069182
S0594	Male	19-29	36	15197	2368.888596433507
S0595	Female	11-18	13	6570	1978.6910197869104
S0596	Female	11-18	19	11092	1712.946267580238
S0597	Male	11-18	16	15218	1051.3865159679328
S0598	Female	11-18	53	24986	2121.1878652045143
S0599	Male	11-18	3	6779	442.5431479569258
S0600	Male	50-59	5	3318	1506.931886678722
S0601	Male	19-29	3	2906	1032.3468685478322
S0602	Male	19-29	28	16807	1665.972511453561
S0603	Male	30-39	22	25704	855.8979147214441
S0604	Male	30-39	17	23612	719.9728951380654
S0605	Male	60-69	30	16319	1838.3479379863961
S0606	Male	60-69	0	934	0
S0607	Female	30-39	67	26372	2540.5733353556802
S0610	Female	19-29	7	7960	879.3969849246231
S0611	Female	19-29	2	7246	276.0143527463428
S0613	Female	50-59	38	11535	3294.32162982228
S0614	Male	50-59	7	10338	677.1135616173342
S0615	Female	19-29	14	27629	506.71395996959717
S0616	Male	50-59	17	12863	1321.620150820182
S0617	Female	19-29	31	26363	1175.8904525281644
